Agency,Location,PrimaryBias,OffenseType,Year
SCHUYLER CO - RURAL,"Schuyler County, MO, USA"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Intimidation,2015
SPRINGFIELD,"Springfield, MO, USA",Anti-Black or African American,Burglary,2015
SPRINGFIELD,"Springfield, MO, USA",Anti-Black or African American,Simple Assault,2015
SPRINGFIELD,"Springfield, MO, USA", Anti-Jewish,Simple Assault,2015
ST JOSEPH,"St. Joseph, MO, USA",Anti-Black or African American,Intimidation,2015
ST. LOUIS CITY,"St. Louis, MO, USA",Anti-Black or African American,Simple Assault,2015
ST. LOUIS CITY,"St. Louis, MO, USA",Anti-White,Simple Assault,2015
ST. LOUIS CITY,"St. Louis, MO, USA",Anti-White,Simple Assault,2015
ST. LOUIS CITY,"St. Louis, MO, USA",Anti-Black or African American,Intimidation,2015
ST. LOUIS CITY,"St. Louis, MO, USA",Anti-Black or African American,Intimidation,2015
ST. LOUIS COUNTY,"St. Louis County, MO, USA",Anti-Black or African American,Destruction/ Damage/Vandalism,2015
ST. LOUIS COUNTY,"St. Louis County, MO, USA",Anti-Black or African American,Simple Assault,2015
ST. LOUIS COUNTY,"St. Louis County, MO, USA",Anti-Black or African American,Intimidation,2015
TANEY CO - RURAL,"Taney County, MO, USA",Anti-Black or African American,Arson,2015
UNIV OF MO - COLUMBIA,"Columbia, MO, USA", Anti-Gender Non-Conforming,Intimidation,2015
UNIV OF MO - COLUMBIA,"Columbia, MO, USA",Anti-Islamic (Muslim),Intimidation,2015
UNIV OF MO - COLUMBIA,"Columbia, MO, USA", Anti-Jewish,Intimidation,2015
UNIV OF MO - COLUMBIA,"Columbia, MO, USA", Anti-Jewish,Destruction/ Damage/Vandalism,2015
UNIVERSITY CITY,"University City, MO, USA", Anti-Jewish,Intimidation,2015
UNIVERSITY CITY,"University City, MO, USA", Anti-Jewish,Intimidation,2015
UNIVERSITY CITY,"University City, MO, USA",Anti-Islamic (Muslim),Intimidation,2015
WARRENTON,"Warrenton, MO, USA",Anti-Black or African American,Destruction/ Damage/Vandalism,2015
