Agency,Location,PrimaryBias,OffenseType,Year
BELTON,"Belton, MO",Anti-Black or African American,Simple Assault,2012
COLUMBIA,"Clumbia, MO",Anti-Black or African American,Intimidation,2012
CREVE COEUR,"Creve Coeur, MO", Anti-Jewish,Intimidation,2012
CREVE COEUR,"Creve Coeur, MO", Anti-Jewish,Intimidation,2012
CROCKER,"Crocker, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Intimidation,2012
DE SOTO,"De Soto, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
EDMUNDSON,"Edmundson, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
GLADSTONE,"Gladstone, MO", Anti-Gay (Male) ,Simple Assault,2012
GRAIN VALLEY,"Grain Valley, MO",Anti-Black or African American,Simple Assault,2012
GREENE CO - RURAL,"Greene County, MO", Anti-Hispanic or Latino,Aggravated Assault,2012
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
INDEPENDENCE,"Independence, MO"," Anti-Multiple Religions, Group",Destruction/ Damage/Vandalism,2012
INDEPENDENCE,"Independence, MO", Anti-Gay (Male) ,Arson,2012
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Simple Assault,2012
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Simple Assault,2012
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
JASPER CO - RURAL,"Jasper County, MO", Anti-Islamic (Muslim),Arson,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO", Anti-Other Religion,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Aggravated Assault,2012
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Aggravated Assault,2012
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Intimidation,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Intimidation,2012
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Aggravated Assault,2012
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Aggravated Assault,2012
KANSAS CITY,"Kansas City, MO", Anti-Other Religion,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-American Indian or Alaskan Native,Aggravated Assault,2012
KANSAS CITY,"Kansas City, MO", Anti-Lesbian,Intimidation,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Intimidation,2012
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Robbery,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Intimidation,2012
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Robbery,2012
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO", Anti-Multi-Religious Group,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Burglary,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Larceny - Theft,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO", Anti-Jewish,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
