Agency,Location,PrimaryBias,OffenseType,Year
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Intimidation,2012
KANSAS CITY,"Kansas City, MO", Anti-Catholic,Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Burglary,2012
KANSAS CITY,"Kansas City, MO", Anti-Hispanic or Latino,Robbery,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Simple Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Intimidation,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Aggravated Assault,2012
KANSAS CITY,"Kansas City, MO",Anti-White,Larceny - Theft,2012
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Intimidation,2012
KANSAS CITY,"Kansas City, MO", Anti-Gay (Male) ,Simple Assault,2012
KANSAS CITY,"Kansas City, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Destruction/ Damage/Vandalism,2012
KANSAS CITY,"Kansas City, MO",Anti-Black or African American,Simple Assault,2012
LEE'S SUMMIT,"Lee's Summit, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
LEE'S SUMMIT,"Lee's Summit, MO",Anti-Black or African American,Simple Assault,2012
LEE'S SUMMIT,"Lee's Summit, MO",Anti-White,Intimidation,2012
LEE'S SUMMIT,"Lee's Summit, MO",Anti-Black or African American,Intimidation,2012
LEE'S SUMMIT,"Lee's Summit, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
LEE'S SUMMIT,"Lee's Summit, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
MACON,"Macon, MO",Anti-Black or African American,Aggravated Assault,2012
MILAN,"Milan, MO",Anti-White,Simple Assault,2012
OVERLAND,"Overland, MO",Anti-Black or African American,Simple Assault,2012
PECULIAR,"Peculiar, MO",Anti-Black or African American,Intimidation,2012
RAYTOWN,"Raytown, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
RAYTOWN,"Raytown, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
ROLLA,"Rolla, MO", Anti-Gay (Male) ,Intimidation,2012
ROLLA,"Rolla, MO", Anti-Gay (Male) ,Intimidation,2012
ROLLA,"Rolla, MO", Anti-Bisexual,Simple Assault,2012
ROLLA,"Rolla, MO", Anti-Gay (Male) ,Aggravated Assault,2012
ROLLA,"Rolla, MO", Anti-Gay (Male) ,Intimidation,2012
ROLLA,"Rolla, MO",Anti-Black or African American,Intimidation,2012
ROLLA,"Rolla, MO",Anti-Black or African American,Burglary,2012
ROLLA,"Rolla, MO",Anti-Black or African American,Burglary,2012
ROLLA,"Rolla, MO",Anti-Black or African American,Burglary,2012
SMITHVILLE,"Smithville, MO", Anti-Hispanic or Latino,Burglary,2012
SPRINGFIELD,"Springfield, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
ST. CHARLES,"St. Charles, MO",Anti-Mental Disability,Aggravated Assault,2012
ST. CHARLES,"St. Charles, MO",Anti-White,Simple Assault,2012
ST. LOUIS CITY,"St. Louis, MO",Anti-Black or African American,Aggravated Assault,2012
ST. LOUIS CITY,"St. Louis, MO",Anti-White,Simple Assault,2012
ST. LOUIS CITY,"St. Louis, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Aggravated Assault,2012
ST. LOUIS CITY,"St. Louis, MO", Anti-Gay (Male) ,Aggravated Assault,2012
ST. LOUIS CITY,"St. Louis, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Simple Assault,2012
ST. LOUIS CITY,"St. Louis, MO", Anti-Jewish,Destruction/ Damage/Vandalism,2012
ST. LOUIS COUNTY,"St. Louis County, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
ST. LOUIS COUNTY,"St. Louis County, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
ST. PETERS,"St. Peters, MO",Anti-Black or African American,Intimidation,2012
ST. PETERS,"St. Peters, MO",Anti-American Indian or Alaskan Native,Destruction/ Damage/Vandalism,2012
ST. PETERS,"St. Peters, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
STONE CO - RURAL,"Stone County, MO", Anti-Physical Disability,Simple Assault,2012
UNIV OF MO - COLUMBIA,"Columbia, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2012
UNIV OF MO - KC,"Kansas City, MO",Anti-Black or African American,Intimidation,2012
WARREN CO - RURAL,"Warren County, MO"," Anti-Multiple Religions, Group",Aggravated Assault,2012
